Название,Рейтинг,Кол-во серий,Длительность (мин),Жанры,Дата релиза,Тип оригинала,Авторы,Описание,Ссылка
Одержимые смертью,8.3,12,25,"приключения, драма",19.07.2007,манга,Намикава Дайсукэ,"На турнире, устроенном Таданагой Токугавой, жестоким даймё Суруги, бойцы станут сражаться боевым оружием. Это приведет к большим потерям среди мечников, но что за беда? Правитель алчет величественного и кровавого зрелища.
К удивлению зрителей, среди прочих самураев в списках значатся два искалеченных бойца – однорукий Генносукэ Фудзики и слепой Ирако Сэйген: оба они мастера школы Ивамото Когэна, давние знакомые и давние соперники...
автор Анастасия Розанова (редакционный текст)
В ролях:
Намикава Дайсукэ
,
Сасаки Нодзому
,
Кувасима Хоко
,
Синохара Эми
,
Като Сэйдзо
,
Хориэ Мицуко
,
Яра Юсаку",http://www.world-art.ru/animation/animation.php?id=6425
Сёстры Минами [ТВ-3],8.3,13,25,"комедия, повседневность",05.01.2009,манга,Сато Рина,"Третий сезон сериала о трёх сестричках. С событий второго сезона прошёл год, и девушки уже почти выросли. Однако повседневная жизнь этой семьи так же забавна, как и в прошлом. И не взирая на мелкие ссоры, сёстры живут дружно. Любовь, подростковые проблемы — всё это приходит в их жизнь. Но теперь Харука стала старше и уже не может постоянно присматривать за импульсивной Каной и замкнутой Тиаки, что порождает новые забавные ситуации.
текст добавлен
Evamerion
В ролях:
Сато Рина
(озв.
Харука Минами
),
Иноуэ Марина
(озв.
Кана Минами
),
Тихара Минори
(озв.
Тиаки Минами
),
Мидзуки Нана
(озв.
Тома Минами
),
Оно Дайсукэ
(озв.
Хосака
),
Какихара Тэцуя
(озв.
Фудзиока
),
Такаги Рэйко
(озв.
Маки
)... и еще
11 чел.",http://www.world-art.ru/animation/animation.php?id=7096
Чей-то взгляд,8.3,1,7,"повседневность, драма",10.02.2013,оригинальная идея,Хирано Фуми,"Со временем вещи становятся обыденными и скучными. И тогда человек забывает о том, что в жизни является на самом деле значимым и важным. Очень часто мы не осознаем, чем выступает истинная любовь близких и родных людей. И осознание это зачастую приходит к нам лишь в трагический момент, когда мы навсегда теряем того, кто все это время шел рядом с вами по дороге жизни...
текст добавлен
vvavrik
В ролях:
Хирано Фуми
(озв.
Мии-сан
),
Ханамура Сатоми
(озв.
Ая Окамура
),
Огава Синдзи
(озв.
Кодзи Окамура
)",http://www.world-art.ru/animation/animation.php?id=1325
Пираты «Чёрной лагуны» OVA,8.3,5,35,приключения,27.06.2010,манга,Тоёгути Мэгуми,"Роберта, террористка-горничная, боевик ФАРК, появившаяся в первом сезоне «Черной Лагуны» возвращается. Действия будут происходить как в знакомом Роанапуре, так и в других весьма экзотических местах. События коснутся непосредственно команды «Лагуны», а вот куда приведут эти самые события — это и предстоит узнать.
текст добавлен
best_hamil
В ролях:
Тоёгути Мэгуми
(озв.
Реви
),
Намикава Дайсукэ
(озв.
Рок
),
Исобэ Цутому
(озв.
Датч
),
Хирата Хироаки
(озв.
Бенни
),
Кояма Мами
(озв.
Балалайка
),
Томидзава Митиэ
(озв.
Роберта
),
Икура Кадзуэ
(озв.
Гарсия Лавлейс
)",http://www.world-art.ru/animation/animation.php?id=6368
Компания «Первая любовь»,8.3,12,25,"комедия, романтика, драма",12.04.2009,манга,Исэ Мария,"Какой основной вопрос волнует юношей и девушек, вступающих в заветную «весну жизни»? Уж точно не спасение редких горных кошек… а, конечно же, любовь!  Именно о ней, о первой любви, о ее поисках и непростых загадках рассказывает этот романтический ситком, вращающийся вокруг двух десятков  учениц и учеников средней и старшей школы, связанных дружескими, родственными и романтическими отношениями.
Стоит ли девушке ждать принца на белом коне? Обманчива ли внешность? Зла ли любовь?  Какие характеры лучше для долгих отношений – схожие или противоположные? Ответы на эти и другие вопросы будут искать 14-летние  подружки Аюми, Кэй, Коёй, Рика и Нао, которые составляют «организационное ядро» персонажей сериала.  Как следует из законов жанра, каждая серия будет рассказывать отдельную историю и нанизываться на отдельный сквозной метасюжет.
автор Hollow (редакционный текст)
В ролях:
Исэ Мария
,
Тоёсаки Аки
,
Фудзимура Аюми
,
Котобуки Минако
,
Ито Сидзука
,
Гото Саори
,
Танака Риэ
... и еще
9 чел.",http://www.world-art.ru/animation/animation.php?id=7153
Мелочи жизни [ТВ],8.3,26,25,"комедия, повседневность",03.04.2011,манга,Хонда Марико,"Школьные годы чудесные… Пора юной жизни, когда необычное кроется в повседневном, океан видится в капле воды, и каждый день происходит что-то новое. Так и текут будни ребят и девчат из некоей старшей школы в совершенно нормальном городке: вот только одна из героинь - робот с огромным заводным ключом в спине, другой ездит в школу на белом… козле, а третья достает пистолеты и пулеметы прямо из воздуха. И каждое событие из жизни главных героев - от поедания домашнего обеда до сдачи экзаменов – может в одночасье превратиться в проблему всеяпонского или даже мирового масштаба!
В общем, дело «Адзуманги» живет и побеждает, а зрителей ждет еще одна искрометная россыпь сценок из жизни обычно-необычных японских школьников, в которых, глядя со стороны, нетрудно узнать себя, друзей или близких. Смогут ли авторы сотворить новое блюдо из хорошо знакомых ингредиентов – судить нам с вами!
автор Hollow (редакционный текст)
В ролях:
Хонда Марико
(озв.
Юко Айой
),
Айдзава Май
(озв.
Мио Наганохара
),
Тогаси Мисудзу
(озв.
Май Минаками
),
Конно Хироми
(озв.
Хакасэ
),
Фуруя Сидзука
(озв.
Нано Синономэ
),
Сирайси Минору
(озв.
Сакамото-сан
),
Ямамото Кадзутоми
(озв.
Цуёси Наканодзё
)... и еще
18 чел.",http://www.world-art.ru/animation/animation.php?id=8133
Фейри Тейл Зеро,8.3,12,25,"приключения, комедия, фэнтези",09.01.2016,манга,Ното Мамико,"Приквел небезызвестного сериала прольет для вас свет на то, как создавалась легендарная гильдия волшебников.
Итак, далекий Х679 год. Юная Мёбиус Вермилион проживает свою нелегкую жизнь на острове Тенрю. Не смотря на тяжкий труд и постоянные издевательства деспотичного правителя и его дочери, Мавис не отчаивается и мечтает, во что бы то ни стало, встретить фей, о которых ей так часто рассказывали родители.
Спустя 7 лет девушке суждено познакомиться с тремя могущественными волшебниками. Эта встреча положит начало невероятным приключениям и станет первым шагом к созданию гильдии «Хвост Феи», которая навсегда изменит ход волшебной истории.
текст добавлен
Nell-chan
В ролях:
Ното Мамико
(озв.
Мэйвис Вермиллион
),
Ханадзава Кана
(озв.
Зера
),
Кониси Кацуюки
(озв.
Юрий Дрейар
),
Кавахара Ёсихиса
(озв.
Прехт
),
Сирокума Хироси
(озв.
Воррод
),
Исида Акира
(озв.
Зереф Драгнил
)",http://www.world-art.ru/animation/animation.php?id=8568
Звёздное дитя [ТВ-1],8.3,11,25,"драма, повседневность",12.04.2023,манга,Такахаси Риэ,"Красная ковровая дорожка, яркие вспышки фотоаппаратов, восторженные вскрики поклонников! Наверняка каждый хоть раз в жизни мечтал прославиться: стать знаменитым музыкантом, востребованным актёром или популярным певцом. Только вот путь становления звездой тернист, и лишь немногим удаётся осуществить мечту. Но что, если двери в шоу-бизнес были бы открыты с самого начала?
Аквамарин и Руби Хосино — дети популярной певицы Ай Хосино. Им не составило труда начать карьеру и влиться в развлекательную индустрию, ведь они с самого начала являлись её частью. Пускай близнецы с рождения принадлежат миру грёз и им суждено стать идолами, знают ли они, что главное оружие в этой сфере — ложь, а яркий свет софитов скрывает тёмные стороны шоу-бизнеса? Чтобы выжить в этом блистательном мире и раскрыть главную тайну их матери, Аквамарину и Руби тоже придётся надеть маски и смиренно играть свои роли.
текст добавлен
Evoluter
=================
Ослепительный айдол с глазами ярче любых софитов - ее имя Ай Хошино. Она лидер группы и звезды сцены. Ее жизнь - переплетение искренности и лжи, любви, успеха и тайн, сокрытых в тени закулисной жизни. Но одно известно наверняка: ее красота и энергичность, навсегда оставляют след в сердцах поклонников.
Аквамарин и Руби - брат и сестра с необычной историей рождения. Им предначертано идти путем артистов. Озаренные светом Ай Хошино, каждый со своими целями и мечтами, они вступают на тернистую дорогу к сцене. Друзья, враги, интриги, тяжелый труд и мгновенья славы - такова жизнь айдола. А ведь еще нужно успевать вести расследование!
текст добавлен
comanch
В ролях:
Такахаси Риэ
(озв.
Ай
),
Оцука Такэо
(озв.
Аква
),
Игома Юриэ
(озв.
Руби
),
Хан Мэгуми
(озв.
Кана Арима
),
Окубо Руми
(озв.
Мем
),
Ивами Манака
(озв.
Аканэ Курокава
)",http://www.world-art.ru/animation/animation.php?id=11362
Амагами СС [ТВ-1],8.3,25,25,"комедия, романтика, повседневность",02.07.2010,видеоигра,Маэно Томоаки,"Каждый выбирает по себе… Сделать выбор – самое сложное в жизни молодого человека, и это в полной мере испытал 17-летний Дзюнъити Татибана, тихий и скромный японский школьник. Однажды обжегшись в отношениях с прекрасным полом, Дзюн долго «дул на молоко», ограничиваясь картинками и личным планетарием, который оборудовал в собственном стенном шкафу. Но в шкафу вечно не просидишь – природа берет свое, и главный герой обнаруживает, что плодотворно общаться можно не только с книгами, лучшим другом и младшей сестренкой.
Старшая школа – неиссякаемый источник и опорный камень аниме – так полна соблазнов! Что делать, когда с тобой заговаривает красавица Харука – пусть школьный идол, но приятная в общении и нисколько не зазнающаяся старшеклассница? А может, стоит взглянуть на милую скромницу Саэ, с которой вроде бы свела сама судьба? Или принять вызов Ай – сильной и уверенной в себе спортсменки, да еще подруги сестры? Хотя зачем ходить далеко – ведь в классе есть «своя в доску» бесшабашная Каору, а еще простая и веселая Рихоко?  Да и как понимать взгляды старосты Цукасы – по виду типичной отличницы, а вот иногда такое проскакивает… В общем, проблем у Дзюна хватает, а как он будет с ними разбираться, сможет ли вырасти и стать мужчиной – нам покажут авторы аниме!
автор Hollow (редакционный текст)
В ролях:
Маэно Томоаки
(озв.
Дзюнъити Татибана
),
Надзука Каори
(озв.
Цукаса Аяцудзи
),
Синтани Рёко
(озв.
Рихоко Сакурай
),
Сато Рина
(озв.
Каору Танамати
),
Конно Хироми
(озв.
Саэ Наката
),
Ногами Юкана
(озв.
Ай Нанасаки
),
Ито Сидзука
(озв.
Харука Морисима
)",http://www.world-art.ru/animation/animation.php?id=7146
Мобильный воин Гандам: Исток OVA,8.4,6,65,"приключения, фантастика, меха",28.02.2015,манга,Танака Маюми,"описания ещё нет
В ролях:
Танака Маюми
(озв.
Касвал Дейкун
),
Хан Мэгуми
(озв.
Артесия Дейкун
),
Ураяма Дзин
(озв.
Дегин Содо Заби
),
Гинга Бандзё
(озв.
Гирен Заби
),
Фудзи Синсю
(озв.
Сасро Заби
),
Миякэ Кэнта
(озв.
Дозул Заби
),
Ватанабэ Акэно
(озв.
Кисилия Заби
)... и еще
39 чел.",http://www.world-art.ru/animation/animation.php?id=1919
Атака титанов [ТВ-2],8.3,12,25,"приключения, фэнтези, драма",01.04.2017,манга,Кадзи Юки,"Для людей настали суровые времена. Всё человечество на грани вымирания, аа во всё виноваты громадные титаны, чья единственная цель в жизни - пожрать как можно больше человеченки. До недавних событий люди жили в спокойствие, но с постоянным страхом. Они замуровали себя за высокими стенами, которые гиганты никак не могли преодолеть. Так продолжалось сотню лет. Но в один прекрасный день, колоссальный и бронированный титаны смогли пробить стену тем самым открыв проход остальным.
За первый сезон много что произошло. 25 серий оставили после себя множество вопросов, ответы на которые вы найдёте в продолжение. Какая тайна кроется в самих стенах? Почему там замурованы гиганты? Как так вышло, что обычный человек вообще способен превращаться в титана? Что за обезьяноподобный гигант такой? Какую учесть ждёт Анни, которая сейчас скована кристаллом? И смогут ли наши герои, добраться до старого дома Эрана, где по их догадкам, скрывается тайна происхождения гигантов?
текст добавлен
Nis2
=================
Эрэн Йегер поклялся уничтожить титанов, но в сражении за свою жизнь он становится тем, что больше всего ненавидит. С новыми силами он сражается за обретение человечеством свободы.
После битвы с Женской особью, в стене обнаруживается титан. Ханджи с пристрастием допрашивает пастора Ника об этом, но тот молчит, не поддаваясь на угрозы. Двенадцатью часами ранее, Конни, Саша и другие бывшие курсанты 104-го набора сталкиваются с толпой гигантов в районе стены Роза. Толпа пришла с юга, оттуда, где находится родная деревня Конни. Командир отряда Мик направляет его туда...
текст добавлен
Nell-chan
=================
Долгожданное продолжение приключений Эрена Йегера и его друзей. Первый сезон пронесся словно скоростной экспресс, оставляя за собой неповторимый экшен и еще больше загадок, нежели ответов.
Все поняли, что не только у Эрена есть возможности, которые дают шанс на то что человечество не вымрет. Но все же - откуда взялись гиганты? Почему они охотятся на людей, что ими движет? Как победить гигантов, и...только-ли гиганты являются врагами? Что делать человечеству? Ответ один - сражайтесь!
Сражайтесь! Потому что ответы нельзя получить сидя за стеной
Сражайтесь! Потому что только так можно победить!
Сражайтесь! Ведь именно сильное сердце и непоколебимый дух приносят победу.
Время тайн и загадок закончилось, настала пора отбросить страх и предубеждения, вновь взяться за верный привод, собрать волю в кулак и найти столь нужные ответы!
текст добавлен
Geosword
В ролях:
Кадзи Юки
(озв.
Эрен
),
Исикава Юй
(озв.
Микаса
),
Иноуэ Марина
(озв.
Армин
),
Танияма Кисё
(озв.
Жан
),
Симамура Ю
(озв.
Анни
),
Кобаяси Ю
(озв.
Саша
),
Миками Сиори
(озв.
Криста
)",http://www.world-art.ru/animation/animation.php?id=8849
Принцесса подводного царства,8.4,1,68,"фэнтези, драма, романтика",21.03.1975,,Касияма Фумиэ,"описания ещё нет
В ролях:
Касияма Фумиэ
,
Мияги Марико
,
Сигаки Таро
,
Сибата Хидэкацу
,
Томита Косэй
,
Кимоцуки Канэта
,
Нагай Итиро",http://www.world-art.ru/animation/animation.php?id=4087
Легенда о легендарных героях,8.3,24,25,"приключения, комедия, драма, фэнтези",02.07.2010,ранобэ,Фукуяма Дзюн,"Когда-то мир разрывали на части войны демонов, но легендарные герои, овладевшие могучей магией, смогли изгнать их и отвоевать землю для людей. Люди тут же передрались между собой, основав множество стран. Самой могущественной державой считается Роландская Империя, раскинувшаяся на юге континента. Но и она сильно пострадала от недавней схватки с соседями, в которой пали правитель и цвет рыцарства. Новым императором был избран герой войны, молодой дворянин Сион Астал, опирающийся на товарищей по Имперской Академии, где готовят лучших воинов-магов. Сион принял тяжкий крест власти, зная, что не он выиграл войну, только лучшего друга и истинного творца победы к трону нельзя подпускать даже на километр!
Лучшего друга зовут Райнер Лют, и он – самый страшный человек в мире. Во-первых, потому, что владеет Альфа Стигмой – древним даром распознать, скопировать и воспроизвести любую магию. А во-вторых – потому что ему в жизни вообще ничего не нужно! И куда такого деть? Желательно подальше, пускай поищет артефакты героев легенд, глядишь, и трон укрепится, а то старая аристократия уже начала показывать коготки. Но так как сам по себе Райнер далеко не уйдет, то коварный Сион отрядил к нему в напарницы мечницу Феррис, умную и язвительную девушку, впрочем, имеющую свои слабости. А для страховки (власть портит человека) император так засекретил миссию, что соседи считают Райнера и Феррис шпионами, а свои – беглецами и изменниками. И пошла сладкая парочка слоняться по миру, периодически вопрошая: им оно надо? А придется!
автор Hollow (редакционный текст)
В ролях:
Фукуяма Дзюн
,
Такагаки Аяхи
,
Оно Дайсукэ
,
Сугита Томокадзу
,
Мурата Томоса
,
Фудзита Саки
,
Сувабэ Дзюнъити",http://www.world-art.ru/animation/animation.php?id=7793
Призрак в доспехах: Невинность,8.3,1,100,"приключения, фантастика, меха",06.03.2004,манга,Оцука Акио,"Близкое будущее, 2032 год. Техника достигла невиданного прогресса. Это мир, который люди разделяют с киборгами и роботами. Бато — детектив отдела полиции по борьбе с терроризмом. Он — живой киборг, оснащённый искусственными руками, ногами и прочими частями тела. Остался лишь его прежний мозг да память о ней, о Мотоко Кусанаги. Вместе с напарником Тогусой Бато привлечён к расследованию серии убийств роботами своих владельцев, причём все роботы относятся к эспериментальной модели секс-андроидов фирмы Locus Solus. Компания предпочла бы замять дело, отозвав роботов с рынка и договорившись с родственниками погибших. Но Бато и Тогуса — не из тех, с кем можно заключить полюбовную сделку.
В ролях:
Оцука Акио
(озв.
Бато
),
Танака Ацуко
(озв.
Мотоко Кусанаги
),
Ямадэра Коити
(озв.
Тогуса
),
Оки Тамио
(озв.
Дайсукэ Арамаки
),
Накано Ютака
(озв.
Исикава
),
Сакакибара Ёсико
(озв.
Халлауэй
),
Муто Суми
(озв.
Хадали
)",http://www.world-art.ru/animation/animation.php?id=312
Морская невеста [ТВ],8.3,26,25,"комедия, романтика, повседневность",02.04.2007,манга,Момой Харуко,"Старшеклассник Нагасуми Митисио приезжает на лето к бабушке, чей дом стоит на берегу залива Сэто. Во время купания ему сводит ногу, и бедняга начинает тонуть. Нагасуми наверняка погиб бы, если б не вмешательство юной русалки... Сан-тян спасает подростка, но теперь и Нагасуми, и Сан, и их семьи стоят перед непростым выбором: поскольку никто не должен знать о существовании русалок, либо Сан-тян, либо Нагасуми предстоит погибнуть. Впрочем, есть еще один вариант: Сан и Нагасуми могут пожениться, тогда их семьи породнятся, а какие могут быть секреты от родни?..
Бедный Нагасуми! Легко ли это – жениться за год до окончания средней школы, да еще на русалке из клана подводных якудз!..
автор Анастасия Розанова (редакционный текст)
=================
История разворачивается вокруг юноши по имени Нагасуми Митисио. Однажды во время летних каникул Нагасуми чуть не утонул, но его спасла русалка по имени Сан Сэто. Девушка происходит из семьи русалок-якудза с суровыми правилами, и по их законам либо она, либо юноша теперь должны умереть.
Однако есть и другой вариант, спасающий жизни обоих: Нагасуми должен жениться на Сан. Вот только проблема в том, что отец девушки — Годзабуро Сэто — недоволен таким раскладом... Да что уж там таить, он просто-таки взбешён от нынешнего положения дел. Так на что же будет похожа дальнейшая жизнь нашего героя?
текст добавлен
Natsu Dragneel
В ролях:
Момой Харуко
,
Мидзусима Такахиро
,
Ногава Сакура
,
Куватани Нацуко
,
Миякэ Кэнта
,
Набэй Макико
,
Мурасэ Кацуки
... и еще
10 чел.",http://www.world-art.ru/animation/animation.php?id=6140
Стальная тревога!,8.3,24,25,"приключения, комедия, романтика, меха",08.01.2002,ранобэ,Сэки Томокадзу,"События происходят в альтернативной реальности в начале XXI века. Человечество шагнуло далеко вперед в развитии науки, направив все силы на создание передовых военных технологий. Китай разделен гражданской войной на северное и южное государства, являясь дестабилизирующим фактором в азиатском регионе. Советский Союз избежал распада, продолжая наращивать влияние путем секретных операций и модернизации армии. Социалистическая страна активно применяет агентов КГБ для противодействия США и неожиданно набравшей мощь Японии. Главной ударной силой мировых держав являются «армслэйвы» – прямоходящие роботы, управляемые изнутри пилотом. Технологический скачок обязан «виспардам», людям с особой активностью мозга. За их контроль борются все спецслужбы планеты и террористические группировки.
Независимым игроком на политической арене выступает организация «Мифрил». Она противодействует боевикам, а также берет под охрану «виспардов», не желая их попадания в руки людей с радикальными взглядами. Структура обладает собственной армией и даже подводным флотом. Их флагманом выступает субмарина «Туаха Де Дананн», спроектированная 16-летней Терезой Тестароссой. Старшеклассник Сагара Сосукэ с 8-летнего возраста держит оружие в руках, а с недавних пор оператор «армслэйва». Командование поручило ему обеспечить защиту одаренной Тидори Канамэ, за которой идет охота террористов и КГБ.
текст добавлен
xMaxWeLx
=================
Сосукэ Сагара — семнадцатилетний военный специалист, работающий на секретную организацию «Мифрил», — был назначен телохранителем одной из «шепчущих» по имени Канамэ Тидори. Для успешного выполнения своей миссии ему предстоит пройти множество испытаний, сразиться с врагами из своего прошлого и даже... поймать вора трусиков.
К сожалению, для Сосукэ самой сложной частью миссии является отнюдь не защита Тидори. Гораздо сложнее ему будет привыкнуть к школьной жизни, ведь он буквально вырос на поле боя.
текст добавлен
Dannelyan
В ролях:
Сэки Томокадзу
(озв.
Сосукэ Сагара
),
Юкино Сацуки
(озв.
Канамэ Тидори
),
Ногами Юкана
(озв.
Тэсса
),
Мики Синъитиро
(озв.
Курц
),
Нэя Митико
(озв.
Мелисса Мао
),
Оцука Акио
(озв.
Калинин
),
Танака Масахико
(озв.
Гаурон
)",http://www.world-art.ru/animation/animation.php?id=35
Тетрадь дружбы Нацумэ: Связь с бренным миром,8.3,1,105,"мистика, повседневность",29.09.2018,манга,,"Такаси Нацумэ наделён удивительной способностью: он видит духов, которые живут вокруг нас. С самого детства ему приходится жить рядом с этими сказочными существами и скрывать от людей свой дар. А помогают ему в этом кот-телохранитель и загадочная тетрадь дружбы. В какой-то момент Нацумэ кажется, что он наконец-то обрёл гармонию и спокойствие, но в городе появляется таинственный призрак, и начинают происходить невероятные вещи…
автор kinoafisha",http://www.world-art.ru/animation/animation.php?id=9428
Тигр и Кролик,8.3,25,25,"приключения, комедия, драма, меха",03.04.2011,оригинальная идея,Хирата Хироаки,"В техногенном Штернбильд-Сити супергерои «поколения Next» и старые добрые злодеи – артисты развлекательного жанра, управляемые опытными режиссерами. Хотя способности героев вполне реальны, они лишь пешки в руках спонсоров и акул шоу-бизнеса. Схватки транслируют в прямом эфире, зрители ставят любимцам оценки за технику и артистизм, которые определяют рейтинг, а уже от него зависят престиж и гонорары. Бешеный Тигр, он же Котэцу Кабураги – мастер старой школы и в бизнесе уже десять лет. Он верный последователь Супермена и Бэтмена, но начал уставать – в итоге срывы сценария, выходы из образа и последние строчки хит-парадов. Боссы провели «ребрендинг», вручив Тигру новый костюм и напарника, молодого парня по имени Барнаби, этакого мальчика-зайчика, с которым ветеран должен всколыхнуть аудиторию, составив первую в истории геройскую команду.
Все течет, все меняется, и надо меняться вместе с ходом всемогущего  времени, если не хочешь отстать от мира – в этом нехитрая мораль сериала, которую понял даже упрямый Кабураги. Как гласят законы героического жанра, иметь молодого напарника здорово – и новости знать будешь, и за пончиками всегда есть кого послать!
автор Hollow (редакционный текст)
В ролях:
Хирата Хироаки
(озв.
Котэцу Кабураги
),
Морита Масакадзу
(озв.
Кролик
),
Котобуки Минако
(озв.
Карина
),
Кусуноки Тайтэн
(озв.
Рок Байсон
),
Иноэ Го
(озв.
Скай Хай
),
Исэ Мария
(озв.
Хуан Паолинь
),
Окамото Нобухико
(озв.
Оригами Сайклон
)... и еще
22 чел.",http://www.world-art.ru/animation/animation.php?id=8089
Прославленный [ТВ-1],8.3,26,25,"приключения, фантастика, фэнтези, романтика",04.04.2006,видеоигра,Кояма Рикия,"Человек в железной полумаске
очнулся в глухой деревне. Маска не снимается, про полученные раны памяти нет, даже имя где-то потерялось, а вокруг незнакомый мир, и неизвестно чего ждать. Впрочем, вскоре выяснилось, что не все так плохо – кругом симпатичные и дружелюбные зверолюди с ушками и хвостиками, знахарка
Тускуру
, в чьем доме лечится пришелец, оказалась мудрой женщиной, а с ее красавицей внучкой
Эруру
, назначенной на роль сиделки, так и хочется познакомиться поближе…
Увы, идиллия длилась недолго – в деревню ворвались бандиты, собирающие дань для давно прогнившей центральной власти. Пролилась кровь, погибла старейшина, и аборигены, в гневе отомстившие налетчикам, поняли, что взяв оружие, надо идти дальше – или умереть подобно овцам. Беспамятный чужак, нареченный Хакуоро, неожиданно оказался умелым воином и сильным лидером – остается лишь узнать, сможет ли он пройти путь от обычного крестьянского вожака до настоящего героя песен и сказаний?
автор Hollow (редакционный текст)
В ролях:
Кояма Рикия
(озв.
Хакуоро
),
Юдзуки Рёка
(озв.
Эруру
),
Савасиро Миюки
(озв.
Аруру
),
Накахара Май
(озв.
Юдзуха
),
Кугимия Риэ
(озв.
Камю
),
Охара Саяка
(озв.
Урутории
),
Кирии Дайсукэ
(озв.
Оборо
)... и еще
17 чел.",http://www.world-art.ru/animation/animation.php?id=4991
Ох уж этот экстрасенс Сайки Кусуо! [ТВ-1],8.3,120,5,"комедия, мистика",04.07.2016,манга,Камия Хироси,"Сюжет рассказывает о Сайки Кусуо, обладающем кучей сверх способностей. Казалось бы, живи и пользуйся чудо-талантами на радость себе и другим. Но у Кусуо почему-то всё идёт наперекосяк. Однако, он пытается жить нормальной жизнью, несмотря на свои аномальные способности.
текст добавлен
7fest
В ролях:
Камия Хироси
(озв.
Кусуо Сайки
),
Оно Дайсукэ
(озв.
Рики Нэндо
),
Симадзаки Нобунага
(озв.
Сюн Кайдо
),
Хино Сатоси
(озв.
Кинэси Хайро
),
Ханаэ Нацуки
(озв.
Рэйта Торицука
),
Каяно Ай
(озв.
Кокоми Тэрухаси
),
Тамура Юкари
(озв.
Тиё Юмэхара
)",http://www.world-art.ru/animation/animation.php?id=8773
Ускорение,8.3,26,25,"комедия, спорт, романтика, повседневность",04.04.2007,манга,Кадзи Юки,"Долгие годы Микото Синодзаки был заурядным тихоней, не имеющим никакой цели в жизни.  Но все изменилось в один памятный день...
Однокласснице Синодзаки, местной красавице Юки Фукадзаве, брат обещал подкинуть деньжат, если она сможет затащить нового участника в школьный кружок велосипедистов. Вскоре сей корыстной особе как раз подвернулся Микото, явно «запавший» на нее... После череды весьма занимательных происшествий план легкомысленной Юки реализовался, и наш тихоня стал третьим представителем еле живого кружка. Что же ждет его далее?
Любители спортивных аниме наверняка знают ответ – тяжелые тренировки, соревнования, сложные отношения в команде и рефлексии о прошлом. В общем, мы лишний раз убедимся, что жизнь спортсменов нелегка, но исполнена смысла – радости от победы над самим собой!
автор Алексей Мелихов (редакционный текст)
В ролях:
Кадзи Юки
,
Ясумура Макото
,
Нодзима Кэндзи
,
Танияма Кисё
,
Надзука Каори
,
Яхаги Саюри
,
Окиаю Рётаро",http://www.world-art.ru/animation/animation.php?id=6394
